2024-07-31 20:53:08,Détection de visage,Visage détecté: Inconnu
2024-07-31 20:53:09,Détection de visage,Visage détecté: Inconnu
2024-07-31 20:53:11,Détection de visage,Visage détecté: Inconnu
2024-07-31 20:54:37,Ajout de visage,Visage ajouté: Ousmane NIANG
2024-07-31 20:55:06,Détection de visage,Visage détecté: Inconnu
2024-07-31 20:55:08,Détection de visage,Visage détecté: Inconnu
2024-07-31 20:55:09,Détection de visage,Visage détecté: Inconnu
2024-07-31 20:55:10,Détection de visage,Visage détecté: Inconnu
2024-07-31 20:55:11,Détection de visage,Visage détecté: Inconnu
2024-07-31 20:55:13,Détection de visage,Visage détecté: Inconnu
2024-07-31 20:55:14,Détection de visage,Visage détecté: Inconnu
2024-07-31 20:55:15,Détection de visage,Visage détecté: Inconnu
2024-07-31 20:55:16,Détection de visage,Visage détecté: Inconnu
2024-07-31 20:55:18,Détection de visage,Visage détecté: Inconnu
2024-07-31 20:55:19,Détection de visage,Visage détecté: Inconnu
2024-07-31 20:55:20,Détection de visage,Visage détecté: Inconnu
2024-07-31 20:55:21,Détection de visage,Visage détecté: Inconnu
2024-07-31 20:55:23,Détection de visage,Visage détecté: Inconnu
2024-07-31 20:55:24,Détection de visage,Visage détecté: Inconnu
2024-07-31 20:55:25,Détection de visage,Visage détecté: Inconnu
2024-07-31 20:55:26,Détection de visage,Visage détecté: Inconnu
2024-07-31 20:55:28,Détection de visage,Visage détecté: Inconnu
2024-07-31 20:55:29,Détection de visage,Visage détecté: Inconnu
2024-07-31 20:55:30,Détection de visage,Visage détecté: Inconnu
2024-07-31 20:55:31,Détection de visage,Visage détecté: Inconnu
2024-07-31 20:55:33,Détection de visage,Visage détecté: Inconnu
2024-07-31 20:55:34,Détection de visage,Visage détecté: Inconnu
2024-07-31 20:55:35,Détection de visage,Visage détecté: Inconnu
2024-07-31 20:55:36,Détection de visage,Visage détecté: Inconnu
2024-07-31 20:55:38,Détection de visage,Visage détecté: Inconnu
2024-07-31 20:55:39,Détection de visage,Visage détecté: Inconnu
2024-07-31 20:55:40,Détection de visage,Visage détecté: Inconnu
2024-07-31 20:55:41,Détection de visage,Visage détecté: Inconnu
2024-07-31 20:55:43,Détection de visage,Visage détecté: Inconnu
